name,ra,dec,image,thumb,typ,aufnahmejahr
Abell2151 Herkuleshaufen.jpg,241.275,17.7166666666667,image/Abell2151 Herkuleshaufen.jpg,image/thumbs/thumb_Abell2151 Herkuleshaufen.jpg,Galaxienhaufen,2021
Barnard92.jpg,273.875,-18.21666667,image/Barnard92_beschriftet.jpg,image/thumbs/thumb_Barnard92_beschriftet.jpg,Dunkelnebel,2024
Cirrusnebel_1.jpg,312.6353,30.923446,image/Cirrusnebel_1.jpg,image/thumbs/thumb_Cirrusnebel_1.jpg,Nebel,2022
Coma_Cluster_beschriftet.jpg,194.95,27.9833333333333,image/Coma_Cluster_beschriftet.jpg,image/thumbs/thumb_Coma_Cluster_beschriftet.jpg,Galaxienhaufen,2024
Herz_u_Seele_TV.jpg,38.175,61.45,image/Herz_u_Seele_TV.jpg,image/thumbs/thumb_Herz_u_Seele_TV.jpg,Nebel,2022
Hummer_Blase_beschriftet.jpg,349.5491667,60.60666667,image/Hummer_Blase_beschriftet.jpg,image/thumbs/thumb_Hummer_Blase_beschriftet.jpg,Nebel,2021
IC 1396 Elefant NSG4.jpg,324.75,57.49,image/IC 1396 Elefant NSG4.jpg,image/thumbs/thumb_IC 1396 Elefant NSG4.jpg,Nebel,2021
IC1274_beschriftet.jpg,272.52916667,-23.76166667,image/IC1274_beschriftet.jpg,image/thumbs/thumb_IC1274_beschriftet.jpg,Nebel,2022
IC1795 Fischkopfnebel RGBHO.jpg,36.43125,62.10361111,image/IC1795 Fischkopfnebel RGBHO.jpg,image/thumbs/thumb_IC1795 Fischkopfnebel RGBHO.jpg,Nebel,2022
IC2169_beschriftet.jpg,97.75,10.1,image/IC2169_beschriftet.jpg,image/thumbs/thumb_IC2169_beschriftet.jpg,Nebel,2025
IC405_beschriftet.jpg,79.35,34.38333333,image/IC405_beschriftet.jpg,image/thumbs/thumb_IC405_beschriftet.jpg,Nebel,2022
IC434+NGC2024 Pferdekopf-u.Flammennebel.jpg,85.25375,-2.45389,image/IC434+NGC2024 Pferdekopf-u.Flammennebel.jpg,image/thumbs/thumb_IC434+NGC2024 Pferdekopf-u.Flammennebel.jpg,Nebel,2021
IC443_beschriftet.jpg,94.51125,22.66,image/IC443_beschriftet.jpg,image/thumbs/thumb_IC443_beschriftet.jpg,Nebel,2024
IC4603_4604_beschriftet.jpg,246.5,-24.4,image/IC4603_4604_beschriftet.jpg,image/thumbs/thumb_IC4603_4604_beschriftet.jpg,Nebel,2022
IC5146 Kokon-Nebel beschriftet.jpg,328.35,47.26666667,image/IC5146 Kokon-Nebel beschriftet.jpg,image/thumbs/thumb_IC5146 Kokon-Nebel beschriftet.jpg,Nebel,2024
IC59+IC63_beschriftet.jpg,14.42666667,61.08327778,image/IC59+IC63_beschriftet.jpg,image/thumbs/thumb_IC59+IC63_beschriftet.jpg,Nebel,2022
LDN673_neo_beschriftet.jpg,290.22666667,11.22,image/LDN673_neo_beschriftet.jpg,image/thumbs/thumb_LDN673_neo_beschriftet.jpg,Dunkelnebel,2023
LDN889_beschriftet.jpg,306.80458333,40.09833333,image/LDN889_beschriftet.jpg,image/thumbs/thumb_LDN889_beschriftet.jpg,Dunkelnebel,2023
Leo_Triplet_beschriftet.jpg,169.73315417,13.09221111,image/Leo_Triplet_beschriftet.jpg,image/thumbs/thumb_Leo_Triplet_beschriftet.jpg,Galaxie,2023
